unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_7mpf_4k6g,vehicle_type,closed_date,resolution_description,facility_type,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,taxi_pick_up_location,due_date,taxi_company_borough
65461234,2025-07-05T01:51:27.000,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11206,895 BROADWAY,BROADWAY,BELVIDERE STREET,ARION PLACE,BELVIDERE STREET,ARION PLACE,ADDRESS,BROOKLYN,BROADWAY,Unspecified,2025-07-05T01:52:30.000,04 BROOKLYN,3031360003,BROOKLYN,1001734,193564,PHONE,Unspecified,BROOKLYN,40.69794796545256,-73.93694672836828,"{'latitude': '40.697947965452556', 'longitude': '-73.93694672836828', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17213,42,2,30,53,53,,,,,,,,,,,
65469039,2025-07-05T01:51:05.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11221,1013 PUTNAM AVENUE,PUTNAM AVENUE,HOWARD AVENUE,BROADWAY,HOWARD AVENUE,BROADWAY,ADDRESS,BROOKLYN,PUTNAM AVENUE,In Progress,2025-07-05T02:14:44.000,03 BROOKLYN,3014840041,BROOKLYN,1006339,189744,ONLINE,Unspecified,BROOKLYN,40.68745265640268,-73.92035206084482,"{'latitude': '40.68745265640268', 'longitude': '-73.92035206084482', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18181,69,2,17,52,52,,,,,,,,,,,
65459763,2025-07-05T01:51:04.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10456,1061 GRANT AVENUE,GRANT AVENUE,EAST  165 STREET,EAST  166 STREET,EAST  165 STREET,EAST  166 STREET,ADDRESS,BRONX,GRANT AVENUE,In Progress,2025-07-05T01:59:24.000,04 BRONX,2024510033,BRONX,1007234,241771,MOBILE,Unspecified,BRONX,40.83025108107415,-73.9169470295274,"{'latitude': '40.830251081074145', 'longitude': '-73.9169470295274', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10934,50,5,42,27,27,,,,,,,,,,,
65458280,2025-07-05T01:51:00.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10456,1481 WASHINGTON AVENUE,WASHINGTON AVENUE,ST PAULS PLACE,EAST  171 STREET,ST PAULS PLACE,EAST  171 STREET,ADDRESS,BRONX,WASHINGTON AVENUE,In Progress,2025-07-05T02:00:37.000,03 BRONX,2029020036,BRONX,1010934,244328,ONLINE,Unspecified,BRONX,40.83725890119578,-73.90356687170548,"{'latitude': '40.83725890119578', 'longitude': '-73.90356687170548', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10934,34,5,42,25,25,,,,,,,,,,,
65469051,2025-07-05T01:50:58.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11211,249 AINSLIE STREET,AINSLIE STREET,GRAHAM AVENUE,HUMBOLDT STREET,GRAHAM AVENUE,HUMBOLDT STREET,ADDRESS,BROOKLYN,AINSLIE STREET,In Progress,2025-07-05T01:55:50.000,01 BROOKLYN,3027710001,BROOKLYN,999840,199094,MOBILE,Unspecified,BROOKLYN,40.71313004852761,-73.94376433378945,"{'latitude': '40.71313004852761', 'longitude': '-73.94376433378945', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17613,36,2,30,56,56,,,,,,,,,,,
65462839,2025-07-05T01:50:50.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10031,1833 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST  150 STREET,WEST  151 STREET,WEST  150 STREET,WEST  151 STREET,ADDRESS,NEW YORK,AMSTERDAM AVENUE,In Progress,2025-07-05T02:39:29.000,09 MANHATTAN,1020650001,MANHATTAN,999480,241246,MOBILE,Unspecified,MANHATTAN,40.82882688134842,-73.94496738776525,"{'latitude': '40.82882688134842', 'longitude': '-73.94496738776525', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12428,37,4,23,19,19,,,,,,,,,,,
65469102,2025-07-05T01:50:44.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11372,35-63 91 STREET,91 STREET,35 AVENUE,37 AVENUE,35 AVENUE,37 AVENUE,ADDRESS,JACKSON HEIGHTS,91 STREET,In Progress,2025-07-05T02:12:56.000,03 QUEENS,4014650042,QUEENS,1018541,213377,MOBILE,Unspecified,QUEENS,40.752280618521645,-73.87623405571998,"{'latitude': '40.752280618521645', 'longitude': '-73.87623405571998', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14783,65,3,5,73,73,,,,,,,,,,,
65459740,2025-07-05T01:50:43.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10452,1173 WALTON AVENUE,WALTON AVENUE,MCCLELLAN STREET,TUDOR PLACE,MCCLELLAN STREET,TUDOR PLACE,ADDRESS,BRONX,WALTON AVENUE,In Progress,2025-07-05T02:00:00.000,04 BRONX,2024790036,BRONX,1006376,243179,ONLINE,Unspecified,BRONX,40.83411782577745,-73.92004277738906,"{'latitude': '40.83411782577745', 'longitude': '-73.92004277738906', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10930,50,5,42,27,27,,,,,,,,,,,
65462841,2025-07-05T01:50:38.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11217,426 BALTIC STREET,BALTIC STREET,HOYT STREET,BOND STREET,HOYT STREET,BOND STREET,ADDRESS,BROOKLYN,BALTIC STREET,In Progress,2025-07-05T02:04:25.000,06 BROOKLYN,3004040001,BROOKLYN,987425,188314,MOBILE,Unspecified,BROOKLYN,40.68355462757267,-73.98855233869938,"{'latitude': '40.68355462757267', 'longitude': '-73.98855233869938', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17619,14,2,38,48,48,,,,,,,,,,,
65467448,2025-07-05T01:50:33.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11420,109-62 132 STREET,132 STREET,109 AVENUE,111 AVENUE,109 AVENUE,111 AVENUE,ADDRESS,SOUTH OZONE PARK,132 STREET,In Progress,2025-07-05T02:13:57.000,10 QUEENS,4116110038,QUEENS,1036538,188988,PHONE,Unspecified,QUEENS,40.68525072791517,-73.81146740171991,"{'latitude': '40.68525072791517', 'longitude': '-73.81146740171991', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24016,62,3,46,64,64,,,,,,,,,,,
